"Code";"Waarde";"DatumVanaf";"DatumTot"
"0";"geen beperking";"2011-01-01";
"1";"niet zonder toestemming aan derden ter uitvoering van een algemeen verbindend voorschrift en niet aan kerken algemeen verbindend voorschrift en niet aan kerken";"2011-01-01";
"2";"niet aan kerken";"2011-01-01";
"3";"niet aan vrije derden";"2011-01-01";
"4";"niet zonder toestemming aan derden ter uitvoering van een algemeen verbindend voorschrift en niet aan kerken";"2011-01-01";
"5";"niet zonder toestemming aan derden ter uitvoering van een algemeen verbindend voorschrift en niet aan vrije derden";"2011-01-01";
"6";"niet aan kerken en niet aan vrije derden";"2011-01-01";
"7";"niet zonder toestemming aan derden ter uitvoering van een algemeen verbindend voorschrift en niet aan vrije derden en niet aan kerken";"2011-01-01";
