"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"65";"Rechtsvordering (instelling)";"2000-01-01";;"Aantekening Object"
"66";"Rechterlijke uitspraak (verzoekschrift)";"2000-01-01";;"Aantekening Object"
"67";"Kwalitatieve verplichting";"2000-01-01";;"Aantekening Object"
"68";"Publiekrechtelijke beperking";"2000-01-01";;"Aantekening Object"
"69";"Tevens appartementsrecht in eigendom na belasting met erfpacht";"2000-01-01";;"Aantekening Object"
"70";"Regeling artikel 18 van de Reconstr. Wet M-Delfland";"2000-01-01";;"Aantekening Object"
"71";"Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen";"2011-06-28";;"Aantekening Object"
"72";"Bevel buitengewone omstandigheden";"2000-01-01";;"Aantekening Object"
"73";"Bevel buitengewone omstandigheden ged.";"2000-01-01";;"Aantekening Object"
"74";"BP (zak. recht/ged. pl.)";"2000-01-01";;"Aantekening Object"
"75";"BP gedeeltelijk (zak. recht/ged. pl.)";"2000-01-01";;"Aantekening Object"
"76";"Vonnis van boedelverzegeling";"2000-01-01";;"Aantekening Object"
"77";"Vonnis van boedelverzegeling ged.";"2000-01-01";;"Aantekening Object"
"78";"Doorhaling voorkeursrecht op grond van de Wet voorkeursrecht gemeenten";"2000-01-01";;"Aantekening Object"
"79";"Doorhaling voorkeursrecht op grond van de Wet voorkeursrecht gemeenten op een gedeelte";"2000-01-01";;"Aantekening Object"
"80";"Voorwaarden WKPB besluiten";"2000-01-01";;"Aantekening Object"
"81";"Voorwaarden WKPB besluiten op een gedeelte van een perceel";"2000-01-01";;"Aantekening Object"
"82";"Gebouwd met subsidie";"2000-01-01";;"Aantekening Object"
"83";"Gebouwd met subsidie ged.";"2000-01-01";;"Aantekening Object"
"84";"Gedoogplicht ex. hoofdstuk 5 Telecommunicatiewet";"2000-01-01";;"Aantekening Object"
"85";"Geluidszone ex. art.41 Wet geluidhinder";"2000-01-01";;"Aantekening Object"
"86";"Herverkavelingskosten te verwachten";"2000-01-01";;"Aantekening Object"
"87";"Herverkaveling in voorbereiding";"2000-01-01";;"Aantekening Object"
"88";"De juistheid van de grens op de kadastrale kaart is in onderzoek";"2000-01-01";;"Aantekening Object"
"89";"Instelling rechtsmiddel ged.";"2000-01-01";;"Aantekening Object"
"90";"Besluit op grond van de Interimwet Stad en Milieubenadering";"2000-01-01";;"Aantekening Object"
"91";"Besluit op grond van de Interimwet Stad en Milieubenadering gedeeltelijk";"2000-01-01";;"Aantekening Object"
"92";"Instelling rechtsvordering ged.";"2000-01-01";;"Aantekening Object"
"93";"Kwalitatieve verbintenis ged.";"2000-01-01";;"Aantekening Object"
"94";"Lening wet bezitvormingsfonds";"2000-01-01";;"Aantekening Object"
"95";"Lening wet bezitvormingsfonds ged.";"2000-01-01";;"Aantekening Object"
"96";"Landinrichtingsprojekt in voorbereiding";"2000-01-01";;"Aantekening Object"
"97";"Bestemming tot gemeensch. nut i.v.m. Mandeligheid";"2000-01-01";;"Aantekening Object"
"98";"Meetconsort";"2000-01-01";;"Aantekening Object"
"99";"Met aandeel in mandelig perceel";"2000-01-01";;"Aantekening Object"
"100";"Bestemming tot gemeenschappelijk nut i.v.m. mandeligheid v.w.b. een gedeelte van een perceel";"2000-01-01";;"Aantekening Object"
"101";"Appartementsrecht in eigendom na belasting met erfpacht";"2000-01-01";;"Aantekening Object"
"102";"Natuurschoonwet";"2000-01-01";;"Aantekening Object"
"103";"Natuurschoonwet in onderzoek";"2000-01-01";;"Aantekening Object"
"104";"Natuurschoonwet opengesteld voor publiek";"2000-01-01";;"Aantekening Object"
"105";"Ondergronds bouwwerk";"2000-01-01";;"Aantekening Object"
"106";"Ondergronds bouwwerk inzake een gedeelte van een perceel";"2000-01-01";;"Aantekening Object"
"107";"Opstal olie/gas";"2000-01-01";;"Aantekening Object"
"108";"Opstal olie/gas gedeeltelijk";"2000-01-01";;"Aantekening Object"
"109";"Vanwege lopende registratieprocedure mogelijk niet overdraagbaar (art155a, lid 3 ONBW)";"2010-08-10";;"Aantekening Object"
"110";"Raadpleeg brondokument";"2000-01-01";;"Aantekening Object"
"111";"Met betrekking tot het perceel is een ruilverkavelingsovereenkomst ingeschreven";"2000-01-01";;"Aantekening Object"
"112";"Met betrekking tot een gedeelte van het perceel is een ruilverkavelingsovereen-komst ingeschreven";"2000-01-01";;"Aantekening Object"
"113";"Aanvang registratieprocedure(art 155a ONBW)";"2010-08-10";;"Aantekening Object"
"114";"RVK-rente te verwachten";"2000-01-01";;"Aantekening Object"
"115";"Toestemming om boom, enz. binnen verboden afstand te hebben";"2000-01-01";;"Aantekening Object"
"116";"Toestemming om boom, enz. binnen verboden afstand te hebben ged.";"2000-01-01";;"Aantekening Object"
"117";"Eis tot vastlegging eigendom netwerk";"2000-01-01";;"Aantekening Object"
"118";"Voornemen vernieuwing";"2000-01-01";;"Aantekening Object"
"119";"Vrijwillige ruilverkaveling";"2000-01-01";;"Aantekening Object"
"120";"Verbouwd met subsidie";"2000-01-01";;"Aantekening Object"
"121";"Verbouwd met subsidie ged.";"2000-01-01";;"Aantekening Object"
"122";"Afwijkende regeling artikel 59, boek 5 van het Burgerlijk Wetboek";"2000-01-01";;"Aantekening Object"
"123";"Afwijkende regeling art.59 boek 5 BW ged.";"2000-01-01";;"Aantekening Object"
"124";"Besluit op grond van artikel 110 I Wet geluidhinder";"2000-01-01";;"Aantekening Object"
"125";"Besluit op grond van artikel 110 I Wet geluidhinder gedeeltelijk";"2000-01-01";;"Aantekening Object"
"126";"Wettelijke herverkaveling";"2000-01-01";;"Aantekening Object"
"127";"Voorkeursrecht op grond van de Wet voorkeursrecht gemeenten";"2000-01-01";;"Aantekening Object"
"128";"Voorkeursrecht op grond van de Wet voorkeursrecht gemeenten op een gedeelte";"2000-01-01";;"Aantekening Object"
"129";"Besluit op basis van Monumentenwet 1988";"2000-01-01";"2010-01-01";"Aantekening PB"
"130";"Besluit op basis van Monumentenwet 1988 gedeeltelijk";"2000-01-01";"2010-01-01";"Aantekening PB"
"131";"Aanschrijving woningwet";"2000-01-01";"2010-01-01";"Aantekening PB"
"132";"Aanschrijving woningwet gedeeltelijk";"2000-01-01";"2010-01-01";"Aantekening PB"
"133";"Bouwgrond- en/of baatbelasting; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"134";"Bouwgrond- en/of baatbelasting gedeeltelijk; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
