"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Hoofdsplitsing","2011-01-01",,"Een Hoofdsplitsing is het gesplitste zakelijk recht van 1 of meer percelen."
"2","Ondersplitsing","2011-01-01",,"Een Ondersplitsing is het ondergesplitste zakelijk recht van een appartementsrecht."
"3","Spiegelsplitsing afkoop erfpacht","2011-01-01",,"Een Spiegelsplitsing afkoop erfpacht is het in appartementsrechten gesplitste recht van eigendom van 1 of meer percelen, waarvan het recht van erfpacht al eerder in appartementsrechten is gesplitst."
"4","Spiegelsplitsing ondersplitsing","2011-01-01",,"Spiegelsplitsing ondersplitsing is een spiegelsplitsing afkoop erfpacht van een ondersplitsing"
