"Code";"Waarde";"DatumVanaf";"DatumTot"
"1";"Begrenzing";"2011-01-01";
"2";"Grootte";"2011-01-01";
"3";"Kadastrale aanduiding";"2011-01-01";
"4";"Verwijzing naar brondocument";"2011-01-01";
"5";"Algemeen";"2011-01-01";
"6";"Zakelijk recht";"2012-03-21";"2015-07-29"
"7";"Tenaamstelling ";"2012-03-21";"2015-07-29"
"8";"Kwalitatieve verplichting";"2015-07-29";
"9";"Erfdienstbaarheid";"2015-07-29";
"10";"Aandeel in Recht";"2015-07-29";
"11";"Onderbewindstelling";"2015-07-29";
