"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"MXP","Mexicaanse peso","2001-01-01","2002-01-01",
"MYR","Maleisische ringgit","2001-01-01",,
"MZM","Mozambiquaanse metical","2001-01-01","2002-01-01",
"MZN","Mozambiquaanse metical","2001-01-01",,
"NAD","Namibische Dollar","2001-01-01",,
"NGN","Nigeriaanse naira","2001-01-01",,
"NIC","Nicaraguaanse cordoba","2001-01-01","2002-01-01",
"NIO","Nicaraguaanse cordoba oro","2001-01-01",,
"NOK","Noorse kroon","2001-01-01",,
"NPR","Nepalese rupee","2001-01-01",,
"NZD","Nieuw-Zeelandse dollar","2001-01-01",,
"OMR","Omaanse rial","2001-01-01",,
"PAB","Panamese balboa","2001-01-01",,
"PEN","Peruaanse nieuwe sole","2001-01-01",,
"PGK","Kina uit Papoea Nieuw Guinea","2001-01-01",,
"PHP","Filipijnse peso","2001-01-01",,
"PKR","Pakistaanse rupee","2001-01-01",,
"PLN","Poolse zloty","2001-01-01",,
"PLZ","Poolse zloty","2001-01-01","2002-01-01",
"PTE","Portugese escudo","2001-01-01","2002-01-01",
"PYG","Paraguayaanse guarani","2001-01-01",,
"QAR","Rial uit Qatar","2001-01-01",,
"ROL","Roemeense leu","2001-01-01","2002-01-01",
"RON","Roemeense leu","2001-01-01",,
"RUB","Russische roebel","2001-01-01",,
"RUR","Russische roebel","2001-01-01","2002-01-01",
"RWF","Rwandese franc","2001-01-01",,
"SAR","Saudische riyal","2001-01-01",,
"SBD","Dollar van de Salomons-eilanden","2001-01-01",,
"SCR","Seychelse rupee","2001-01-01",,
"SDD","Sudanese dinar","2001-01-01",,
"SDP","Soedanese pond","2001-01-01","2002-01-01",
"SEK","Zweedse Kroon","2001-01-01",,
"SGD","Singaporese dollar","2001-01-01",,
"SHP","Sint-Heleense pond","2001-01-01",,
"SIT","Sloveense Tolar","2001-01-01","2002-01-01",
"SKK","Slowaakse koruna","2001-01-01","2002-01-01",
"SLL","Sierraleoonse leone","2001-01-01",,
"SOS","Somalische shilling","2001-01-01",,
"SRD","Surinaamse dollar","2001-01-01",,
"SRG","Surinaamse gulden","2001-01-01","2002-01-01",
"STD","Dobra van Sao Toma en Principe","2001-01-01",,
"SVC","Colon uit El Salvador","2001-01-01",,
"SYP","Syrische pond","2001-01-01",,
"SZL","Lilangeni uit Swaziland","2001-01-01",,
"THB","Thaise baht","2001-01-01",,
"TJR","Tadzjiekse Roebel","2001-01-01","2002-01-01",
"TJS","Tadzjiekse somini","2001-01-01",,
"TMM","Manat uit Turkmenistan","2001-01-01",,
"TND","Tunesische dinar","2001-01-01",,
"TOP","Pa'anga uit Tonga","2001-01-01",,
"TPE","Timorese escudo","2001-01-01",,
"TRL","Turkse lira","2001-01-01","2002-01-01",
"TRY","Nieuwe turkse lira","2001-01-01",,
"TTD","Dollar uit Trinidad en Tobago","2001-01-01",,
"TWD","Taiwanese dollar","2001-01-01",,
"TZS","Tanzaniaanse shilling","2001-01-01",,
"UAH","Hryvnia uit Oekraine","2001-01-01",,
"UAK","Karbovanet uit Oekraine","2001-01-01","2002-01-01",
"UGS","Ugandese shilling","2001-01-01","2002-01-01",
"UGX","Ugandese shilling","2001-01-01",,
"USD","Amerikaanse dollar","2001-01-01",,
"UYP","Uruguayaanse peso","2001-01-01","2002-01-01",
"UYU","Uruguayaanse peso","2001-01-01",,
"UZS","Sum uit Oezbekistan","2001-01-01",,
"VEB","Venezolaanse bolivar","2001-01-01",,
"VND","Viëtnamese dong","2001-01-01",,
"VUV","Vatu uit Vanuata","2001-01-01",,
"WST","Tala uit West-Somoa","2001-01-01",,
"XAF","CFA frank equatoriaal","2001-01-01",,
"XCD","Oost-Caribische dollar","2001-01-01",,
"XEU","Ecu","2001-01-01","2002-01-01",
"XOF","CFA franc west","2001-01-01",,
"XPF","Polynesische franc","2001-01-01",,
"YER","Jeminitische rial","2001-01-01",,
"YUM","Nieuwe Joegoslavische dinar","2001-01-01","2002-01-01",
"YUN","Nieuwe Joegoslavische dinar","2001-01-01","2002-01-01",
"ZAR","Zuid-Afrikaanse rand","2001-01-01",,
"ZMK","Zambiaanse kwacha","2001-01-01",,
"ZRZ","Zaïrese zaire","2001-01-01","2002-01-01",
"ZWD","Zimbabwaanse dollar","2001-01-01",,
