"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"ABG","Awbow Bodembescherming - Instemming verslag uniforme saneringsplan","2023-07-01",,"(artikel 3.1, eerste lid, aanhef en onder a, of tweede lid, van de Aanvullingswet bodem Omgevingswet in samenhang met artikel 39b van de Wet bodembescherming en artikel 14 van het Besluit uniforme saneringen) beschikking van gedeputeerde staten houdende instemming met het verslag van een uniforme sanering als bedoeld in artikel 39b van de Wet bodembescherming, indien sprake is geweest van de saneringsaanpak, bedoeld in artikel 3, eerste lid, onder c, van het Besluit uniforme saneringen, of van een combinatie van de saneringsaanpakken, bedoeld in artikel 3, eerste lid, onder b en c, van het Besluit uniforme saneringen."
"ABH","Awbow Bodembescherming - Vervolgbeschikking (deel)saneringsplan instemming nazorgplan","2023-07-01",,"(artikel 3.1, eerste lid, aanhef en onder a, b of c, van de Aanvullingswet bodem Omgevingswet in samenhang met artikel 39d, derde lid, van de Wet bodembescherming) beschikking van gedeputeerde staten, houdende instemming met het nazorgplan."
"ABI","Awbow Bodembescherming - Vervolgbeschikking (deel)saneringsplan instemming verslag","2023-07-01",,"(artikel 3.1, eerste lid, aanhef en onder a, b of c, van de Aanvullingswet bodem Omgevingswet in samenhang met artikel 39c, tweede lid, van de Wet bodembescherming) beschikking van gedeputeerde staten, houdende instemming met het verslag, bedoeld in artikel 39c, eerste lid, van de Wet bodembescherming, indien in dat verslag beperkingen in het gebruik van de bodem zijn beschreven."
"ABJ","Awbow Bodembescherming - Maatregel bevel (Gedeputeerde Staten)","2023-07-01",,"(artikel 3.1 van de Aanvullingswet bodem in samenhang met artikel 49 van de Wet bodembescherming) maatregel (bevel) van gedeputeerde staten."
"ABK","Awbow Bodembescherming - Vordering (minister I&W)","2023-07-01",,"(artikel 3.1 van de Aanvullingswet bodem in samenhang met artikel 50 van de Wet bodembescherming) vordering van eigendom of gebruik van onroerende zaken, of van beperkte rechten waaraan onroerende zaken zijn onderworpen, dan wel het gebruik daarvan, door de Minister van Infrastructuur en Waterstaat."
"ABL","Awbow Bodembescherming - Uitoefening bevoegdheden grote gemeenten","2023-07-01",,"(artikel 3.1 en artikel 3.2 van de Aanvullingswet bodem Omgevingswet in samenhang met artikel 88 van de Wet bodembescherming) uitoefening bevoegdheden als bedoeld in de artikelen 29, 30, 31, 37, 39b, 39c, 39d, 43 en 49 van de Wet bodembescherming, door de gemeenten Amsterdam,’s-Gravenhage, Rotterdam en Utrecht of een andere gemeente die is aangewezen op grond van artikel 88, vijfde lid, van die wet."
"ABM","Awbow Bodembescherming - Bevel ongewoon voorval","2023-07-01",,"(artikel 3.2, aanhef en onder c, van de Aanvullingswet bodem Omgevingswet in samenhang met de artikelen 30 en 31 van de Wet bodembescherming) maatregel (bevel) van gedeputeerde staten (artikel 30) (eventueel vooruitlopend daarop: van de commissaris van de Koning (artikel 31)) bij een ongewoon voorval."
"ABN","Awbow Bodembescherming - Bevel tijdelijke beveiligingsmaatregelen","2023-07-01",,"(artikel 3.2, aanhef en onder e, van de Aanvullingswet bodem Omgevingswet in samenhang met artikel 43, eerste lid, aanhef en onder b, van de Wet bodembescherming) bevel van gedeputeerde staten tot tijdelijke beveiligingsmaatregelen."
"AOA","Awbow Overgangsrecht - Beschikking ernst niet spoed genomen voor i.w.t. Ow, voor zover deze beschikking van belang is voor de toepassing van een bruidsschatregel","2023-07-01",,"(artikel 22.2, eerste lid, in samenhang met de artikelen 29, eerste lid, en 37, eerste lid, van de Wet bodembescherming, zoals die wet luidde voor de inwerkingtreding van de Omgevingswet)  beschikking voor zover in een regel over bodembeheer in het tijdelijke deel van het omgevingsplan, bedoeld in artikel 22.1, onder c, van de Omgevingswet, de locatie waarop die beschikking betrekking heeft bepalend is voor het toepassingsbereik van die regel."
"OBA","Ow Bevoegdheid bijzondere omstandigheden - Veroorzaker verplicht tot treffen van maatregelen","2023-07-01",,"(artikel 19.4) door het bevoegd gezag, voor zover dat de beheerder is, aan de veroorzaker van een ongewoon voorval opgelegde plicht tot het treffen van maatregelen om de nadelige gevolgen van dat voorval te voorkomen, te beperken of weg te nemen."
"OBB","Ow Bevoegdheid bijzondere omstandigheden - Verrichten onderzoek en tijdelijke beveiligingsmaatregelen en veroorzaker verplichten tot treffen van maatregelen","2023-07-01",,"(artikel 19.5) beslissing van het bevoegd gezag, voor zover dat de beheerder is, tot het treffen van preventieve of herstelmaatregelen na een ongewoon voorval."
"OBC","Ow Bevoegdheid bijzondere omstandigheden - Plicht tot het treffen van maatregelen bij archeologische toevalsvondst van algemeen belang","2023-07-01",,"(artikel 19.9 jo. 19.4) door het bevoegd gezag aan de veroorzaker van een ongewoon voorval opgelegde plicht tot het treffen van maatregelen om de nadelige gevolgen van dat voorval te voorkomen, te beperken of weg te nemen."
"OBD","Ow Bevoegdheid bijzondere omstandigheden - Plicht treffen tijdelijke beschermingsmaatregelen bij toevalsvondst verontreiniging","2023-07-01",,"(artikel 19.9c, eerste lid) door het bevoegd gezag in verband met een toevalsvondst van verontreiniging op of in de bodem opgelegde plicht tot het treffen van tijdelijke beschermingsmaatregelen."
"OFA","Ow Financiële bepaling - Voorschrift over kostenverhaal omgevingsvergunning","2023-07-01",,"(artikel 13.14, derde lid, aanhef en onder a, in samenhang met het eerste lid) door het bevoegd gezag aan een omgevingsvergunning voor een buitenplanse omgevingsplanactiviteit verbonden voorschrift over kostenverhaal als bedoeld in artikel 13.14, eerste lid."
"OFB","Ow Financiële bepaling - Voorschrift over kostenverhaal projectbesluit","2023-07-01",,"(artikel 13.14, derde lid, aanhef en onder b, in samenhang met het eerste lid en met artikel 22.16, eerste lid) door het bevoegd gezag aan een projectbesluit dat geldt als een omgevingsvergunning voor een buitenplanse omgevingsplanactiviteit verbonden voorschrift over kostenverhaal als bedoeld in artikel 13.14, eerste lid."
"OGB","Ow Gedoogplicht - Infrastructuur- en waterwerken (minister I&W)","2023-07-01",,"(artikel 10.13, eerste lid) door de Minister van Infrastructuur en Waterstaat opgelegde gedoogplicht voor het tot stand brengen of opruimen van een werk voor infrastructuur of water."
"OGC","Ow Gedoogplicht - Infrastructuur- en waterwerken (waterschap)","2023-07-01",,"(artikel 10.13, tweede lid) door het dagelijks bestuur van een waterschap opgelegde gedoogplicht voor het tot stand brengen of opruimen van een werk ter uitvoering van een projectbesluit waarop artikel 5.46, tweede lid, van de Omgevingswet van toepassing is."
"OGD","Ow Gedoogplicht - Nazorg bodem onderzoek of uitvoering maatregelen (B&W)","2023-07-01",,"(artikel 10.13b) door het college van burgemeester en wethouders opgelegde gedoogplicht voor het verrichten van onderzoek of de uitvoering van maatregelen in verband met nazorg van de bodem."
"OGE","Ow Gedoogplicht - Energie of mijnbouw (minister I&W)","2023-07-01",,"(artikel 10.14) door de Minister van Infrastructuur en Waterstaat opgelegde gedoogplicht voor het tot stand brengen of opruimen van een werk voor energie of mijnbouw."
"OGF","Ow Gedoogplicht - Werken grenswateren Uitvoeringswet Nederlands-Duits Grensverdrag (minister I&W)","2023-07-01",,"(artikel 10.15) door de Minister van Infrastructuur en Waterstaat opgelegde gedoogplicht voor het tot strand brengen of opruimen van werken voor grenswateren als bedoeld in artikel 1 van de Uitvoeringswet Nederlands-Duits Grensverdrag."
"OGG","Ow Gedoogplicht - Ontgrondingen (minister I&W)","2023-07-01",,"(artikel 10.16, eerste lid, of het eerste lid in samenhang met het derde lid) door de Minister van Infrastructuur en Waterstaat of gedeputeerde staten opgelegde gedoogplicht voor het verrichten van onderzoek op een locatie in verband met een omgevingsvergunning voor een ontgrondingsactiviteit of een aanvraag om een dergelijke vergunning."
"OGH","Ow Gedoogplicht - Ontgrondingen op verzoek (minister I&W)","2023-07-01",,"(artikel 10.16, tweede lid, of het tweede lid in samenhang met het derde lid) door de Minister van Infrastructuur en Waterstaat of gedeputeerde staten op verzoek van de aanvrager of houder van een omgevingsvergunning opgelegde gedoogplicht voor het verrichten van onderzoek en voor het aanbrengen, in stand houden, onderhouden, gebruiken en verwijderen van de voor dat onderzoek benodigde middelen als dat voor de ontgrondingsactiviteit nodig is."
"OGI","Ow Gedoogplicht - Onderzoek in verband met omgevingsvergunning wateractiviteit of andere plicht (waterbeheerder)","2023-07-01",,"(artikel 10.17, eerste lid) door de beheerder opgelegde gedoogplicht voor het verrichten van onderzoek in verband met een omgevingsvergunning voor een wateractiviteit of ter voldoening aan een andere in het kader van het waterbeheer op grond van de Omgevingswet, een waterschapsverordening of omgevingsverordening op hem rustende plicht."
