"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"overig";"2011-01-01";;
"2";"ten kadasterkantore";"2011-01-01";;
"3";"ten kantore deurwaarder";"2011-01-01";;
"4";"ten kantore notaris";"2011-01-01";;
"5";"ten kantore schuldeiser";"2011-01-01";;
