"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Ter inschrijving aangeboden","2011-01-01",,
"2","Technisch afgekeurd","2011-01-01",,
"3","Ingeschreven","2011-01-01",,
"4","Voorlopige aantekening","2011-01-01",,
"5","Geweigerd","2011-01-01","2021-07-05",
"6","Ingetrokken","2011-01-01",,
"7","Niet gebruikt","2011-01-01",,
"8","Vervallen voorlopige aantekening","2011-01-01",,
"9","In bewerking","2017-01-01","2021-07-05",
"10","Onbekend","2017-01-01","2021-07-05",
