"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Eeuwigdurend afgekocht","2017-05-01",,
"2","Afgekocht tot en met","2017-05-01",,
"3","Variabel bedrag","2017-05-01",,
"4","Jaarlijks bedrag","2017-05-01",,
