"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"Subrogatie";"2011-01-01";;
"2";"Huurkoop";"2011-01-01";;"AKR-ZBL-CODE"
"3";"Koopovereenkomst, art. 10 WVG";"2011-01-01";;"AKR-ZBL-CODE"
"4";"Koopovereenkomst, art. 10 WVG (doorhaling)";"2011-01-01";;"AKR-ZBL-CODE"
"5";"Koopovereenkomst, art. 7:3 BW";"2011-01-01";;"AKR-ZBL-CODE"
"6";"Koopovereenkomst, art. 7:3 BW (doorhaling)";"2011-01-01";;"AKR-ZBL-CODE"
"7";"Koopovereenkomst, art. 7:3 BW en 10 WVG";"2011-01-01";;"AKR-ZBL-CODE"
"8";"Koopovereenkomst, art. 7:3 BW en 10 WVG (doorhaling)";"2011-01-01";;"AKR-ZBL-CODE"
"9";"Onderbewindstelling";"2011-01-01";;"AKR-ZBL-CODE"
"10";"Reglement mede-eigenaren";"2011-01-01";;
"11";"Rangwisseling";"2011-01-01";;
"12";"Aantekening huurkoop";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"13";"Recht op gedeelte van een aanwas";"2000-01-01";;"AKR-ZBL-CODE"
"14";"Aanvaarding nalatenschap onder voorrecht van boedelbeschrijving";"2000-01-01";;"AKR-ZBL-CODE"
"15";"Beheer";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"16";"Bewind vererving";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"17";"Bezit";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"18";"Curatele vererving";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"19";"Doorhaling koop of voorovereenkomst tot koop";"2000-01-01";;"AKR-ZBL-CODE"
"20";"Erfpachtcanon (mogelijk berekend)";"2000-01-01";;"AKR-ZBL-CODE"
"21";"Einddatum recht";"2000-01-01";;"AKR-ZBL-CODE"
"22";"Fideï commis/tweetrapsmaking";"2000-01-01";;"AKR-ZBL-CODE"
"23";"Fiduciaire eigendomsoverdracht";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"24";"Fideï commis de residuo";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"25";"Geen volledige afstand gedaan";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"26";"Koop of voorovereenkomst tot koop zie Wet voork recht gemten";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"27";"Legaat onder last";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"28";"Lijst van rechthebbenden";"2000-01-01";;"AKR-ZBL-CODE"
"29";"Noemen lastgever voorbehouden";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"30";"Overgedragen aan NNP in oprichting";"2000-01-01";;"AKR-ZBL-CODE"
"31";"Onbetaalde kooppenningen";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"32";"Optie-overeenkomst, art. 10 Wet voorkeursrecht gemeenten";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"33";"Ontbindende voorwaarde";"2000-01-01";;"AKR-ZBL-CODE"
"34";"Omschrijving zakelijk recht";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"35";"Post aan";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"36";"Privatieve last (economische overdracht)";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"37";"Privatieve last";"2000-01-01";;"AKR-ZBL-CODE"
"38";"Provisionele veiling";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"39";"Raadpleeg brondocument";"2000-01-01";;"AKR-ZBL-CODE"
"40";"Recht in opvolging uitgegeven";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"41";"Recht van wederinkoop";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"42";"Splitsing erfpachtcanon";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"43";"Splitsing eigendom na belasting met erfpacht";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"44";"Door schenking verkregen";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"45";"Toestemming tot bezwaring";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"46";"Toestemming tot verhuring met beding";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"47";"Toestemming tot verpachting met beding";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"48";"Toestemming tot verhuring met tijdslimiet";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"49";"Toestemming tot vervreemding";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"50";"Opschortende voorw. gedeeltelijk";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"51";"Uitsluitingsclausule t.a.v. huwelijksgoederenregiem";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"52";"Opschortende voorwaarde";"2000-01-01";;"AKR-ZBL-CODE"
"53";"Kennisgeving ex art. 126 I.K.R. boedelscheiding";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"54";"Verdiepingseigendom";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"55";"Onder voorbehoud goedkeuring G.S.";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"56";"Kennisgeving ingevolge scheiding huwelijksgoederengemeenschap";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"57";"Verzekeringskamer";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"58";"Kennisgeving ontbinding m.b.t. rechtspersoon/niet-rechtspersoon";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"59";"Eenzijdige verklaring van verjaring";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"60";"Wijziging t.a.v. de erfpachtvoorwaarden en/of -canon";"2000-01-01";;"AKR-ZBL-CODE"
"61";"Woonplaats keuze";"2000-01-01";"2010-08-01";"AKR-ZBL-CODE"
"62";"Erfdienstbaarheid";"2000-01-01";;
"63";"Erfdienstbaarheid (doorhaling)";"2000-01-01";;
"64";"Rechtsmiddel (instelling)";"2000-01-01";;"AKR-OBL-CODE"
"65";"Rechtsvordering (instelling)";"2000-01-01";;"AKR-OBL-CODE"
"66";"Rechterlijke uitspraak (verzoekschrift)";"2000-01-01";;"AKR-OBL-CODE"
"67";"Kwalitatieve verplichting";"2000-01-01";;"AKR-OBL-CODE"
"68";"Publiekrechtelijke beperking";"2000-01-01";;"AKR-OBL-CODE"
"69";"Tevens appartementsrecht in eigendom na belasting met erfpacht";"2000-01-01";;"AKR-OBL-CODE"
"70";"Regeling artikel 18 van de Reconstr. Wet M-Delfland";"2000-01-01";;"AKR-OBL-CODE"
