"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"Attendering CRL vermelding";"2011-01-01";;
"2";"Attendering op niet-inschrijving";"2011-01-01";;
"3";"Verzoek tot verbetering";"2011-01-01";;
"4";"Rectificatie verzoek";"2011-01-01";;
