"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Visserijnummer","2011-01-01",,
"2","Meetbriefnummer","2011-01-01",,
"3","Rijnvaartnummer","2011-01-01",,
"5","Registratie Rijksdienst Wegverkeer","2011-01-01",,
"6","Kenmerk buitenlandse registratie","2011-01-01",,
"7","Kenmerk vorige binnenlandse registratie","2011-01-01",,
"11","HIN Hull Identification Number","2011-01-01","2011-01-01",
"11","CIN Craft Identification Number (voorheen HIN)","2011-01-01",,
"12","IMO International Maritime Organization number","2011-01-01",,
