"Code","Waarde","DatumVanaf","DatumTot"
"1","Eigen geslachtsnaam","2011-01-01",
"2","Geslachtsnaam echtgenoot/geregistreerd partner","2011-01-01",
"3","Geslachtsnaam echtgenoot/geregistreerd partner voor eigen geslachtsnaam","2011-01-01",
"4","Geslachtsnaam echtgenoot/geregistreerd partner na eigen geslachtsnaam","2011-01-01",
