"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Beschikbaar","2020-04-01",,"De mededeling is beschikbaar voor de klant"
"2","Bevestigd","2020-04-01",,"De mededeling is bevestigd door de klant"
