"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Commanditaire vennootschap","2011-01-01",,
"2","Maatschap","2011-01-01",,
"3","Rederij","2011-01-01",,
"4","Vereniging van Eigenaren","2011-01-01","2017-11-01",
"5","Vennootschap onder firma","2011-01-01",,
"6","Zie akte(n)","2018-07-15",,
