"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Gereserveerd","2018-05-01",,
"2","Gereserveerd en onder te splitsen","2018-05-01",,
"3","Definitief en onder te splitsen","2018-05-01",,
"4","Te vervallen","2018-05-01",,
"5","Definitief","2018-05-01",,
"6","Definitief en ondergesplitst","2018-05-01",,
"7","Ingetrokken","2018-05-01",,
"8","Te vervallen en ondergesplitst","2018-05-01",,
"9","Vervallen","2018-05-01",,
"10","Vervallen en ondergesplitst","2018-05-01",,
